마라이징떡볶이-21500
감자돌이떡볶이-17500
차새대떡볶이(중)-23500
반반떡볶이-19500
불향차돌떡볶이(중)-16500
통큰오짱떡볶이(중)-16500
차돌/오짱 로제떡볶이-18000
깻잎순대떡볶이(중)-15500
핫도그-2000
통통순살치킨-12500
허니간장순살치킨-13500
버터갈릭감자튀김-5500
복숭커피-3000
아메리카노-1500
다모아튀김-12000
