칼국수-6500
닭도리탕-20000
뼈해장국-7500
라면-4500
철판떡볶이 기본2인분-11000
감자탕 대-20000
감자탕 중-16000
치즈돈가스-7500
치킨가스-7000
오징어덮밥-7000
제육덮밥-7000
제육돌솥-7500
불고기덮밥-8000
