현선이콤보 세트(3인이상)-23000
현선이 세트(2인이상)-20000
써니 세트(2인이상)-16000
베이비 세트(1인이상)-13000
떡볶이-5500
꼬마김밥-5000
순대-5500
모듬튀김-6000
오징어튀김-1200
고구마튀김-1200
야채튀김-1200
김말이-1000
고기만두튀김-800
야끼만두-800
계란-800
치킨마요덮밥-6000
날치알참치마요덮밥-6000
참치마요덮밥-5000
부산 길쭉이 오뎅-1000
즉석떡볶이(비조리)-18000
