슈프림 돈까스-9500
고구마 피자 돈까스-12000
피자 돈까스-10500
경양식 왕 돈까스-9900
쑝쑝 돈까스-8500
큐브 치즈 돈까스-9500
불닭 돈까스-8900
경양식 스노우 돈까스-11500
두툼 치즈 돈까스-10500
양파 듬뿍 돈까스-10500
치폴레 돈까스-9500
눈꽃 치즈 돈까스-10500
프리미엄 카츠-9500
모둠 카츠-11900
고구마 큐브 치즈 카츠-11500
큐브 치즈 카츠2-11500
큐브 치즈 카츠1-10500
로제 파스타-8900
토마토 파스타-8900
까르보나라-8900
유부우동-6900
수제 어묵 꼬지 우동-7900
짬뽕 우동-7900
돈까스 짬뽕 우동-9900
김치 치즈 카츠 나베-9500
