순살안동찜닭(소)-23000
순살안동찜닭(중)-30000
순살안동찜닭(대)-40000
매콤순살고추장찜닭(소)-23000
매콤순살고추장찜닭(중)-30000
매콤순살고추장찜닭(대)-40000
안동찜닭(뼈)(소)-23000
안동찜닭(뼈)(중)-30000
안동찜닭(뼈)(대)-40000
치즈순살고추장찜닭(소)-27000
치즈순살고추장찜닭(중)-34000
치즈순살고추장찜닭(대)-44000
치즈순살안동찜닭(소)-27000
치즈순살안동찜닭(중)-34000
치즈순살안동찜닭(대)-44000
로제파스타찜닭(소)-25000
로제파스타찜닭(중)-32000
로제파스타찜닭(대)-42000
