사케동-13000
데미그라스 돈까스-9000
왕새우튀김우동-12000
치쿠와우동-8500
소고기우동스끼야끼우동-12000
토마토파스타우동-8500
로제파스타우동-8500
베이컨크림우동-10000
명란크림우동-9000
닭가슴살샐러드우동-8500
샐러드우동-7500
새우붓카케우동-9500
붓카케우동-7000
치킨카레우동-9500
불맛카레우동-9000
매콤카레우동-8500
가츠소고기 카레라이스-9000
왕새우카레라이스-10000
치킨카레라이스-8500
고로케카레라이스-8500
불맛카레라이스-7500
소고기매콤카레라이스-7000
오야꼬동(치킨덮밥)-7500
가츠동(돈까스덮밥)-7500
데미그라스 돈까스 함박세트-13000
데미그라스 함박스테이크-14000
머슈룸데미그라스 돈까스-11000
데미그라스 돈까스세트-13000
