알리오 올리오 스파게티니-10900
루꼴라 봉골레 스파게티니-14900
명란 오일 스파게티니-13900
해산물 상하이 스파게티니-15900
부라따 뽀모도로 파스타-15900
해산물 토마토 스파게티니-16900
토마토 라구(볼로네제) 파스타-15900
새우 로제 스파게티니-16900
까르보나라 스파게티니-12900
해산물 스파이시 스파게티니-16900
단호박 크림 뇨끼-15900
소불고기 크림 스파게티니-15900
시금치 베이컨 크림 파스타-14900
새우 투움바 크림 파스타(레드)-17900
새우 투움바 크림 파스타(화이트)-17900
크로와상 리코타 치즈 샐러드-13900
브라타 치즈 토마토 샐러드-18900
닭가슴살 버섯 샐러드-14900
베이컨 시저 샐러드-13900
마르게리따-15900
고르곤졸라-14900
디아볼라 페페로니-16900
베이컨 토마토 루꼴라-17900
스테이크 피자-18900
시금치 페페로니 피자-16900
불고기 피자-17900
그릴 모둠 소세지-16900
