치킨라이스-5500
치킨감자-5500
소고기라이스-5500
소고기감자-5500
소고기베이컨라이스-6500
소고기베이컨감자-6500
새우감자-5500
미트볼감자-5500
소시지감자-6000
수제소시지-3500
플레인핫도그-5500
감자핫도그-6000
고구마핫도그-6000
해쉬브라운감자-8000
크리스피감자-7000
새우튀김 & 칩스-8000
보틀넥감자-8000
메이크업 치킨-8000
메이크업 치킨(소)-5000
